Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,3820000,105000,10300,38.1,101,80500,18500,971,2450,7460,714,2.45,-,-,-,-,4050000,4110000,225000,293000,142,-,13.7
Stage 2,-,-,195000,2300,57.3,1.66,0.847,4460,607,112,840,730,714,2.45,-,-,-,-,205000,208000,9820,12800,4.95,-,2.45
Total,7584.4614,21.35,4020000,107000,10400,39.8,102,85000,19100,1080,3290,8190,1430,4.9,714.1321,2.45,714.1321,2.45,4290000,4360000,270000,344000,173,39,15
