Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,18700000,135000,4.54e-09,0,148,481000,132000,12400,4350,16700,714,2.45,-,-,-,-,19500000,19700000,782000,1020000,150,-,27.2
Stage 2,-,-,647000,7630,190,5.51,2.81,13200,1790,331,1290,1610,714,2.45,-,-,-,-,674000,682000,26700,34700,10.8,-,4.25
Total,7584.4614,21.35,19300000,143000,190,5.51,150,494000,134000,12700,5640,18300,1430,4.9,714.1321,2.45,714.1321,2.45,20200000,20400000,844000,1090000,187,115,28.3
