Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,6360000,92900,3500,57.9,43.3,129000,32800,1030,2950,8900,714,2.45,-,-,-,-,6630000,6720000,272000,354000,104,-,15.2
Stage 2,-,-,299000,3520,87.9,2.54,1.3,6520,887,164,979,958,714,2.45,-,-,-,-,313000,317000,13800,18000,6.29,-,2.96
Total,7584.4614,21.35,6660000,96400,3590,60.4,44.6,136000,33700,1200,3930,9860,1430,4.9,714.1321,2.45,714.1321,2.45,6980000,7070000,321000,410000,136,57,16.5
