Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,13100000,136000,4.55e-09,87.9,60,235000,60700,4130,3830,14000,714,2.45,-,-,-,-,13600000,13700000,454000,590000,150,-,20.2
Stage 2,-,-,502000,5910,148,4.27,2.18,15600,2120,391,1180,1350,714,2.45,-,-,-,-,529000,537000,27400,35600,8.9,-,4.31
Total,7584.4614,21.35,13600000,142000,148,92.2,62.2,251000,62800,4530,5010,15400,1430,4.9,714.1321,2.45,714.1321,2.45,14200000,14300000,516000,664000,186,136,21.5
