Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,18600000,219000,5470,158,80.9,355000,89100,3790,4340,18800,714,2.45,-,-,-,-,19300000,19500000,697000,906000,242,-,25.5
Stage 2,-,-,569000,4120,1.38e-10,0,4.49,564000,136000,26300,1230,1350,714,2.45,-,-,-,-,1300000,1520000,734000,954000,6.94,-,26.3
Total,7584.4614,21.35,19200000,223000,5470,158,85.4,919000,226000,30100,5580,20100,1430,4.9,714.1321,2.45,714.1321,2.45,20600000,21100000,1470000,1900000,275,182,38.4
