Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,12900000,188000,7100,117,87.9,245000,62200,1960,3810,15100,714,2.45,-,-,-,-,13400000,13600000,524000,682000,208,-,21.8
Stage 2,-,-,433000,3140,1.05e-10,0,3.42,334000,81000,15600,1120,1130,714,2.45,-,-,-,-,871000,1000000,437000,568000,5.87,-,19.8
Total,7584.4614,21.35,13300000,191000,7100,117,91.3,580000,143000,17600,4920,16200,1430,4.9,714.1321,2.45,714.1321,2.45,14300000,14600000,996000,1290000,240,108,31
