Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,40400000,417000,1.4e-08,270,184,745000,192000,13100,5740,32400,714,2.45,-,-,-,-,41800000,42200000,1410000,1830000,457,-,37.6
Stage 2,-,-,956000,6920,2.32e-10,0,7.54,1330000,323000,62300,1490,1920,714,2.45,-,-,-,-,2690000,3210000,1730000,2250000,9.99,-,42.1
Total,7584.4614,21.35,41300000,424000,1.42e-08,270,192,2080000,515000,75400,7230,34400,1430,4.9,714.1321,2.45,714.1321,2.45,44500000,45500000,3170000,4120000,493,431,58.7
