Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,6380000,174000,17200,63.6,169,138000,31800,1670,2950,10900,714,2.45,-,-,-,-,6750000,6870000,378000,492000,235,-,18.3
Stage 2,-,-,249000,1800,6.04e-11,0,1.96,207000,50200,9680,917,800,714,2.45,-,-,-,-,520000,602000,272000,353000,4.41,-,15.2
Total,7584.4614,21.35,6620000,176000,17200,63.6,171,346000,82000,11400,3870,11700,1430,4.9,714.1321,2.45,714.1321,2.45,7310000,7510000,685000,882000,266,67,25.2
