Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,80300000,581000,1.95e-08,0,634,1330000,365000,34200,7360,49700,714,2.45,-,-,-,-,82700000,83400000,2370000,3080000,636,-,50.1
Stage 2,-,-,1200000,8660,2.91e-10,0,9.44,985000,238000,46000,1610,2240,714,2.45,-,-,-,-,2480000,2860000,1280000,1670000,11.9,-,35.7
Total,7584.4614,21.35,81500000,590000,1.98e-08,0,643,2310000,603000,80100,8970,51900,1430,4.9,714.1321,2.45,714.1321,2.45,85200000,86300000,3680000,4780000,674,318,63.8
