Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
3710000,102000,5010,97100,22300,1170,2430,5320,-,3520,-,-,3950000,4020000,238000,310000,38.8,-,14.2
230000,2710,33.8,5380,731,135,891,818,-,3520,-,-,244000,248000,14200,18500,5.64,-,3
3940000,104000,5050,102000,23000,1310,3320,6140,6924.3368,7030,3516.7988,3516.7988,4240000,4320000,293000,373000,69,47,15.7
