Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,24400000,251000,8.44e-09,163,111,432000,112000,7600,4790,22200,714,2.45,-,-,-,-,25200000,25400000,830000,1080000,277,-,28.1
Stage 2,-,-,816000,8430,2.83e-10,5.46,3.73,32900,4270,380,1400,1840,714,2.45,-,-,-,-,866000,881000,50000,64900,11.6,-,6
Total,7584.4614,21.35,25200000,260000,8.72e-09,168,115,465000,116000,7980,6190,24100,1430,4.9,714.1321,2.45,714.1321,2.45,26100000,26400000,915000,1180000,314,250,29.6
