Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,5060000,139000,13700,50.5,135,107000,24700,1300,2720,9210,714,2.45,-,-,-,-,5360000,5450000,298000,388000,187,-,16
Stage 2,-,-,267000,2750,9.24e-11,1.78,1.22,6850,888,78.9,940,874,714,2.45,-,-,-,-,280000,284000,13100,17000,5.45,-,2.87
Total,7584.4614,21.35,5330000,141000,13700,52.3,136,114000,25600,1370,3660,10100,1430,4.9,714.1321,2.45,714.1321,2.45,5680000,5770000,346000,442000,219,52,17.2
