Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,9460000,138000,5200,86.1,64.4,175000,44400,1400,3400,12000,714,2.45,-,-,-,-,9840000,9950000,380000,494000,153,-,18.3
Stage 2,-,-,406000,4190,1.41e-10,2.72,1.85,10100,1320,117,1090,1150,714,2.45,-,-,-,-,425000,430000,18700,24300,7.02,-,3.49
Total,7584.4614,21.35,9870000,142000,5200,88.8,66.3,185000,45700,1510,4500,13100,1430,4.9,714.1321,2.45,714.1321,2.45,10300000,10400000,434000,556000,186,77,19.5
