Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,12900000,152000,3800,110,56.2,240000,60200,2560,3810,14300,714,2.45,-,-,-,-,13400000,13600000,478000,621000,169,-,20.8
Stage 2,-,-,519000,5360,1.8e-10,3.47,2.37,16200,2100,187,1190,1350,714,2.45,-,-,-,-,546000,555000,27100,35200,8.3,-,4.28
Total,7584.4614,21.35,13500000,158000,3800,113,58.6,256000,62300,2750,5000,15700,1430,4.9,714.1321,2.45,714.1321,2.45,14000000,14100000,540000,694000,203,123,22.1
