Row,Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,3750000,44200,551,72200,18100,770,2440,4350,-,3520,-,-,3890000,3940000,146000,190000,16.9,-,10.8
Stage 2,274000,7490,370,6180,934,262,949,956,-,3520,-,-,294000,301000,20700,26900,7.4,-,3.69
Total,4020000,51700,920,78400,19000,1030,3390,5300,6924.3368,7030,3516.7988,3516.7988,4230000,4280000,207000,261000,48.8,37,12.9
