Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [M$USD]
6060000,43900,7.36e-10,242000,66600,6230,2900,5520,-,3520,-,-,6430000,6540000,371000,482000,16.9,-,75.8
501000,13700,676,9680,1460,411,1180,1370,-,9680,-,-,533000,542000,32000,41600,9.47,-,19.3
6560000,57600,676,252000,68000,6640,4080,6900,6924.3368,252000,3516.7988,3516.7988,7000000,7130000,443000,568000,50.8,58,79.5
