Row,Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,79900000,578000,9.7e-09,1330000,365000,34200,7350,35200,-,3520,-,-,82200000,82900000,2350000,3060000,162,-,49.9
Stage 2,1570000,11400,1.91e-10,985000,238000,46000,1780,2330,-,3520,-,-,2860000,3250000,1290000,1670000,8,-,35.8
Total,81500000,590000,9.89e-09,2310000,603000,80100,9130,37600,6924.3368,7030,3516.7988,3516.7988,85100000,86200000,3680000,4780000,195,318,63.8
