Row,Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,12900000,188000,3550,245000,62200,1960,3810,10900,-,3520,-,-,13400000,13600000,519000,675000,56.2,-,21.7
Stage 2,433000,3140,5.27e-11,334000,81000,15600,1120,1130,-,3520,-,-,873000,1010000,440000,572000,5.76,-,19.8
Total,13300000,191000,3550,580000,143000,17600,4920,12000,6924.3368,7030,3516.7988,3516.7988,14300000,14600000,999000,1290000,86.5,108,31
