Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,6060000,43900,1.47e-09,0,47.8,238000,65400,6130,2900,7260,714,2.45,-,-,-,-,6420000,6530000,365000,474000,50.3,-,17.9
Stage 2,-,-,501000,13700,1350,5,13.3,9510,1440,404,1180,1670,714,2.45,-,-,-,-,531000,540000,30000,39000,20.7,-,4.53
Total,7584.4614,21.35,6560000,57600,1350,5,61.1,248000,66800,6530,4080,8930,1430,4.9,714.1321,2.45,714.1321,2.45,6990000,7110000,430000,551000,97.3,57,19.4
