Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,3590000,42300,1050,30.5,15.6,80000,20100,853,2400,5540,714,2.45,-,-,-,-,3740000,3790000,153000,199000,48.5,-,11.1
Stage 2,-,-,348000,9510,939,3.47,9.23,6840,1040,290,1030,1290,714,2.45,-,-,-,-,369000,376000,21700,28100,15.2,-,3.79
Total,7584.4614,21.35,3930000,51800,1990,34,24.8,86900,21100,1140,3440,6830,1430,4.9,714.1321,2.45,714.1321,2.45,4140000,4200000,210000,265000,89.9,41,13
