Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,2110000,57700,5690,21,56,57800,13300,697,1980,4810,714,2.45,-,-,-,-,2250000,2290000,143000,186000,79.5,-,10.7
Stage 2,-,-,220000,6020,594,2.19,5.84,4670,707,198,877,935,714,2.45,-,-,-,-,235000,239000,14700,19100,10.5,-,3.06
Total,7584.4614,21.35,2330000,63700,6290,23.2,61.9,62500,14000,896,2860,5740,1430,4.9,714.1321,2.45,714.1321,2.45,2520000,2570000,192000,242000,116,28,12.4
