Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,3040000,44300,1670,27.6,20.7,81700,20700,653,2260,5150,714,2.45,-,-,-,-,3190000,3240000,157000,204000,50.8,-,11.3
Stage 2,-,-,296000,8090,799,2.95,7.86,6010,909,255,975,1150,714,2.45,-,-,-,-,315000,320000,18900,24600,13.3,-,3.51
Total,7584.4614,21.35,3330000,52400,2470,30.6,28.5,87700,21700,908,3240,6300,1430,4.9,714.1321,2.45,714.1321,2.45,3540000,3600000,211000,267000,90.3,36,13
