Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,6310000,173000,17000,62.9,167,138000,31800,1670,2940,10800,714,2.45,-,-,-,-,6680000,6790000,376000,489000,233,-,18.2
Stage 2,-,-,275000,1990,6.69e-11,0,2.17,207000,50200,9680,950,852,714,2.45,-,-,-,-,547000,629000,272000,353000,4.62,-,15.2
Total,7584.4614,21.35,6580000,175000,17000,62.9,170,346000,82000,11400,3890,11700,1430,4.9,714.1321,2.45,714.1321,2.45,7260000,7460000,683000,880000,264,67,25.1
