Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,79900000,578000,1.94e-08,0,630,1330000,365000,34200,7350,49500,714,2.45,-,-,-,-,82200000,83000000,2360000,3070000,633,-,50
Stage 2,-,-,1570000,11400,3.82e-10,0,12.4,985000,238000,46000,1780,2720,714,2.45,-,-,-,-,2860000,3240000,1290000,1670000,14.8,-,35.8
Total,7584.4614,21.35,81500000,590000,1.98e-08,0,643,2310000,603000,80100,9130,52200,1430,4.9,714.1321,2.45,714.1321,2.45,85100000,86200000,3680000,4780000,674,318,63.8
