Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,3110000,85200,8400,31,82.7,68200,15700,822,2280,6410,714,2.45,-,-,-,-,3300000,3360000,188000,244000,116,-,12.4
Stage 2,-,-,226000,3300,124,2.05,1.54,26700,6270,681,885,825,714,2.45,-,-,-,-,265000,277000,39500,51400,6.04,-,5.27
Total,7584.4614,21.35,3340000,88500,8530,33.1,84.2,94900,21900,1500,3170,7240,1430,4.9,714.1321,2.45,714.1321,2.45,3600000,3670000,262000,333000,148,33,14.7
