Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,12600000,91500,3.07e-09,0,99.7,217000,59700,5590,3780,12500,714,2.45,-,-,-,-,13000000,13100000,391000,508000,102,-,18.6
Stage 2,-,-,671000,9800,369,6.11,4.57,42100,9880,1070,1310,1720,714,2.45,-,-,-,-,738000,758000,66900,87000,13.1,-,7.04
Total,7584.4614,21.35,13300000,101000,369,6.11,104,259000,69500,6660,5090,14200,1430,4.9,714.1321,2.45,714.1321,2.45,13800000,13900000,493000,633000,142,52,21
