Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,3750000,44200,1100,31.9,16.3,72200,18100,770,2440,5710,714,2.45,-,-,-,-,3890000,3940000,145000,189000,50.6,-,10.8
Stage 2,-,-,274000,7490,739,2.73,7.27,6180,934,262,949,1090,714,2.45,-,-,-,-,292000,298000,18400,23900,12.5,-,3.46
Total,7584.4614,21.35,4020000,51700,1840,34.6,23.6,78400,19000,1030,3390,6800,1430,4.9,714.1321,2.45,714.1321,2.45,4220000,4270000,199000,250000,89.3,37,12.6
