Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,5090000,52600,1.76e-09,34.1,23.3,95000,24500,1670,2720,6940,714,2.45,-,-,-,-,5280000,5330000,184000,239000,59.8,-,12.3
Stage 2,-,-,348000,9510,939,3.47,9.23,9180,1390,390,1030,1290,714,2.45,-,-,-,-,372000,379000,24400,31800,15.2,-,4.05
Total,7584.4614,21.35,5440000,62100,939,37.5,32.5,104000,25900,2060,3760,8230,1430,4.9,714.1321,2.45,714.1321,2.45,5680000,5750000,244000,309000,101,55,14.1
