Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,6280000,45400,1.53e-09,0,49.5,201000,55100,5160,2940,7440,714,2.45,-,-,-,-,6590000,6690000,317000,413000,52,-,16.6
Stage 2,-,-,414000,11300,1120,4.13,11,8010,1210,340,1100,1460,714,2.45,-,-,-,-,439000,447000,25300,32900,17.6,-,4.12
Total,7584.4614,21.35,6690000,56800,1120,4.13,60.5,209000,56300,5500,4040,8900,1430,4.9,714.1321,2.45,714.1321,2.45,7070000,7170000,378000,483000,95.8,48,18.1
