Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,3170000,46300,1750,28.9,21.6,65800,16700,526,2300,5320,714,2.45,-,-,-,-,3310000,3350000,139000,181000,53,-,10.5
Stage 2,-,-,236000,6460,638,2.36,6.27,4840,732,205,900,982,714,2.45,-,-,-,-,252000,256000,15500,20100,11.1,-,3.15
Total,7584.4614,21.35,3410000,52800,2380,31.2,27.9,70700,17400,732,3200,6300,1430,4.9,714.1321,2.45,714.1321,2.45,3600000,3650000,190000,239000,90.3,29,12.3
