Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,6190000,90400,3410,56.3,42.2,152000,38600,1220,2920,8720,714,2.45,-,-,-,-,6490000,6580000,298000,387000,101,-,16
Stage 2,-,-,362000,4270,107,3.08,1.57,7670,1040,193,1050,1090,714,2.45,-,-,-,-,378000,383000,16100,21000,7.1,-,3.22
Total,7584.4614,21.35,6550000,94600,3510,59.4,43.7,160000,39700,1410,3970,9810,1430,4.9,714.1321,2.45,714.1321,2.45,6900000,7000000,349000,446000,134,67,17.3
