Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,3710000,102000,10000,37.1,98.7,92900,21300,1120,2430,7310,714,2.45,-,-,-,-,3950000,4020000,238000,309000,138,-,14.1
Stage 2,-,-,230000,2710,67.5,1.95,0.998,5150,700,129,891,809,714,2.45,-,-,-,-,241000,244000,11200,14500,5.4,-,2.63
Total,7584.4614,21.35,3940000,104000,10100,39,99.7,98100,22000,1250,3320,8120,1430,4.9,714.1321,2.45,714.1321,2.45,4230000,4310000,284000,361000,170,45,15.4
