Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,7950000,93600,2340,67.6,34.5,160000,40100,1710,3200,9970,714,2.45,-,-,-,-,8260000,8350000,312000,405000,105,-,16.4
Stage 2,-,-,447000,5270,132,3.8,1.94,9390,1280,236,1130,1250,714,2.45,-,-,-,-,467000,473000,19400,25200,8.2,-,3.56
Total,7584.4614,21.35,8390000,98900,2470,71.4,36.5,169000,41400,1940,4330,11200,1430,4.9,714.1321,2.45,714.1321,2.45,8760000,8860000,366000,468000,139,82,17.8
