Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,18400000,133000,4.47e-09,0,145,552000,151000,14200,4330,16500,714,2.45,-,-,-,-,19300000,19500000,872000,1130000,148,-,28.9
Stage 2,-,-,748000,8810,220,6.36,3.25,15100,2050,380,1360,1780,714,2.45,-,-,-,-,778000,787000,30400,39600,12.1,-,4.57
Total,7584.4614,21.35,19200000,142000,220,6.36,149,567000,154000,14600,5690,18300,1430,4.9,714.1321,2.45,714.1321,2.45,20100000,20400000,938000,1210000,186,132,30
