Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,13100000,154000,3850,111,56.9,240000,60200,2560,3830,14400,714,2.45,-,-,-,-,13600000,13700000,480000,624000,171,-,20.8
Stage 2,-,-,457000,4720,1.58e-10,3.06,2.09,16200,2100,187,1140,1240,714,2.45,-,-,-,-,484000,492000,26300,34200,7.6,-,4.21
Total,7584.4614,21.35,13500000,159000,3850,114,58.9,256000,62300,2750,4970,15700,1430,4.9,714.1321,2.45,714.1321,2.45,14100000,14200000,541000,696000,204,123,22.1
