Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,9590000,140000,5280,87.3,65.4,177000,45000,1420,3420,12100,714,2.45,-,-,-,-,9980000,10100000,385000,500000,155,-,18.4
Stage 2,-,-,363000,3750,1.26e-10,2.43,1.66,10300,1330,118,1050,1070,714,2.45,-,-,-,-,381000,387000,18300,23800,6.53,-,3.45
Total,7584.4614,21.35,9960000,144000,5280,89.7,67,187000,46300,1530,4470,13100,1430,4.9,714.1321,2.45,714.1321,2.45,10400000,10500000,438000,562000,188,78,19.6
