Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,5180000,142000,14000,51.6,138,109000,25100,1320,2740,9360,714,2.45,-,-,-,-,5480000,5570000,304000,396000,192,-,16.2
Stage 2,-,-,221000,2280,7.67e-11,1.48,1.01,6980,906,80.5,879,777,714,2.45,-,-,-,-,234000,238000,12600,16400,4.94,-,2.81
Total,7584.4614,21.35,5400000,144000,14000,53.1,139,116000,26000,1400,3620,10100,1430,4.9,714.1321,2.45,714.1321,2.45,5750000,5850000,352000,450000,223,53,17.4
