Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,40400000,292000,9.8e-09,0,318,665000,182000,17100,5740,29700,714,2.45,-,-,-,-,41500000,41900000,1190000,1550000,321,-,34.3
Stage 2,-,-,984000,10200,3.41e-10,6.58,4.49,20900,2720,241,1500,2100,714,2.45,-,-,-,-,1020000,1030000,38400,49900,13.5,-,5.19
Total,7584.4614,21.35,41300000,302000,1.01e-08,6.58,323,686000,185000,17300,7250,31800,1430,4.9,714.1321,2.45,714.1321,2.45,42600000,43000000,1270000,1640000,361,159,35.4
