Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,24500000,253000,8.49e-09,164,112,432000,112000,7600,4800,22300,714,2.45,-,-,-,-,25300000,25600000,832000,1080000,278,-,28.2
Stage 2,-,-,692000,7140,2.4e-10,4.63,3.16,32900,4270,380,1320,1640,714,2.45,-,-,-,-,740000,755000,48400,62900,10.2,-,5.89
Total,7584.4614,21.35,25200000,260000,8.73e-09,168,115,465000,116000,7980,6120,24000,1430,4.9,714.1321,2.45,714.1321,2.45,26100000,26400000,915000,1180000,315,250,29.6
