Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,5030000,73400,2770,45.8,34.3,95400,24200,762,2710,7480,714,2.45,-,-,-,-,5240000,5300000,207000,270000,82.5,-,13.1
Stage 2,-,-,289000,4230,159,2.63,1.97,34000,7980,867,968,971,714,2.45,-,-,-,-,339000,354000,49900,64800,7.06,-,5.99
Total,7584.4614,21.35,5320000,77600,2930,48.4,36.2,129000,32200,1630,3680,8450,1430,4.9,714.1321,2.45,714.1321,2.45,5610000,5690000,292000,372000,116,42,15.7
