Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,3250000,88900,8770,32.4,86.3,70200,16100,847,2320,6610,714,2.45,-,-,-,-,3440000,3500000,194000,253000,121,-,12.7
Stage 2,-,-,179000,2620,98.6,1.63,1.22,27500,6460,702,815,713,714,2.45,-,-,-,-,219000,231000,39600,51500,5.3,-,5.28
Total,7584.4614,21.35,3430000,91500,8870,34,87.5,97700,22600,1550,3130,7320,1430,4.9,714.1321,2.45,714.1321,2.45,3700000,3770000,269000,342000,153,34,15
