Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,6250000,73700,1840,53.2,27.2,119000,29900,1270,2930,8340,714,2.45,-,-,-,-,6490000,6560000,238000,309000,82.8,-,14.1
Stage 2,-,-,347000,5060,191,3.15,2.36,49400,11600,1260,1030,1090,714,2.45,-,-,-,-,417000,438000,70300,91400,7.97,-,7.24
Total,7584.4614,21.35,6600000,78800,2030,56.3,29.5,168000,41500,2530,3970,9440,1430,4.9,714.1321,2.45,714.1321,2.45,6940000,7040000,343000,438000,117,61,17.1
