Row,Payload Fairing Mass [kg],Payload Fairing Length [m],Propellant Mass [kg],Propellant Tank Mass [kg],Propellant Tank Insulation Mass [kg],Oxidizer Tank Length [m],Fuel Tank Length [m],Engines/Casing Mass [kg],Thrust Structure Mass [kg],Gimbal Mass [kg],Avionic Mass [kg],Wiring Mass [kg],Inter-Tank Fairing Mass [kg],Inter-Tank Fairing Length [m],Inter-Stage Fairing Mass [kg],Inter-Stage Fairing Length [m],Aft Fairing Mass [kg],Aft Fairing Length [m],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,-,-,9450000,97600,3.28e-09,63.2,43.2,173000,44600,3040,3400,11000,714,2.45,-,-,-,-,9780000,9880000,333000,433000,109,-,17
Stage 2,-,-,468000,6840,258,4.26,3.19,80900,19000,2060,1150,1340,714,2.45,-,-,-,-,581000,614000,112000,146000,9.9,-,9.36
Total,7584.4614,21.35,9920000,104000,258,67.5,46.4,254000,63600,5100,4550,12300,1430,4.9,714.1321,2.45,714.1321,2.45,10400000,10500000,480000,617000,145,100,20.7
