Row,Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,9450000,97600,1.64e-09,173000,44600,3040,3400,8050,-,3520,-,-,9780000,9880000,333000,433000,31.5,-,17
Stage 2,468000,6840,129,80900,19000,2060,1150,1220,-,3520,-,-,583000,618000,115000,149000,6.76,-,9.48
Total,9920000,104000,129,254000,63600,5100,4550,9270,6924.3368,7030,3516.7988,3516.7988,10400000,10500000,488000,626000,62.8,100,20.9
