Row,Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,12600000,91500,1.54e-09,217000,59700,5590,3780,9190,-,3520,-,-,13000000,13100000,391000,508000,29.8,-,18.6
Stage 2,671000,9800,185,42100,9880,1070,1310,1500,-,3520,-,-,741000,761000,69300,90100,7.57,-,7.18
Total,13300000,101000,185,259000,69500,6660,5090,10700,6924.3368,7030,3516.7988,3516.7988,13800000,14000000,500000,642000,61.9,52,21.1
