Row,Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
Stage 1,6170000,72700,907,119000,29900,1270,2920,6130,-,3520,-,-,6410000,6480000,236000,307000,24.7,-,14.1
Stage 2,381000,5570,105,49400,11600,1260,1070,1090,-,3520,-,-,455000,477000,73600,95600,6.42,-,7.42
Total,6550000,78300,1010,168000,41500,2530,3990,7210,6924.3368,7030,3516.7988,3516.7988,6900000,7000000,350000,447000,55.6,61,17.3
