Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
12900000,152000,1900,240000,60200,2560,3810,10400,-,3520,-,-,13400000,13600000,475000,617000,46.4,-,113
519000,5360,9e-11,16200,2100,187,1190,1260,-,3520,-,-,549000,558000,29800,38800,6.36,-,19.6
13500000,158000,1900,256000,62300,2750,5000,11600,6924.3368,7030,3516.7988,3516.7988,14000000,14200000,545000,700000,77.3,123,116
