Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
24400000,251000,4.22e-09,432000,112000,7600,4790,16000,-,3520,-,-,25200000,25400000,827000,1070000,73.4,-,160
816000,8430,1.41e-10,32900,4270,380,1400,1630,-,3520,-,-,869000,885000,52600,68300,7.2,-,25.2
25200000,260000,4.36e-09,465000,116000,7980,6190,17600,6924.3368,7030,3516.7988,3516.7988,26100000,26400000,919000,1190000,105,250,163
