Propellant [kg],Propellant Tank [kg],Propellant Tank Insulation [kg],Engines/Casing [kg],Thrust Structure [kg],Gimbals [kg],Avionics [kg],Wiring [kg],Payload Fairing [kg],Inter-Tank Fairing [kg],Inter-Stage Fairing [kg],Aft Fairing [kg],Stage Mass [kg],Stage Mass w/ Margin [kg],Inert Mass [kg],Inert Mass w/ Margin [kg],Stage Length [m],Engine Count [-],Stage Cost [B$USD]
40400000,292000,4.9e-09,665000,182000,17100,5740,21300,-,3520,-,-,41500000,41900000,1190000,1540000,84.5,-,210
984000,10200,1.7e-10,20900,2720,241,1500,1820,-,3520,-,-,1020000,1040000,40900,53200,7.67,-,27.5
41300000,302000,5.07e-09,686000,185000,17300,7250,23100,6924.3368,7030,3516.7988,3516.7988,42600000,43000000,1270000,1640000,117,159,213
